epoch,train_loss,val_loss,mean_iou,weighted_f1,iou_bg,iou_s_white,iou_d_white,iou_s_yellow,iou_d_yellow,iou_curb,iou_xwalk,f1_bg,f1_s_white,f1_d_white,f1_s_yellow,f1_d_yellow,f1_curb,f1_xwalk
1,0.26693820598806656,0.23295291180610656,0.22842158197793852,0.6598797883435431,0.9570552704373986,0.18208384557480092,0.04390345872787902,0.10668760176768734,0.09754280668453615,0.08988791176230115,0.12179017889096631,1.0,0.8997781299524564,0.41233766233766234,0.6642599277978339,0.6414977564598484,0.8649970263662196,0.7939598153001373
2,0.22202387932879583,0.22124861180782318,0.2356651061297504,0.6889680703379297,0.9593010729863337,0.18561109011496127,0.05004110281469353,0.1200470565209048,0.11496704395315367,0.09114401359311636,0.1285443629250895,1.0,0.90234375,0.3822525597269625,0.6877980364656382,0.7019621109607578,0.8833322536762325,0.8237151880562733
3,0.20818118040731975,0.2069587807059288,0.25199754891366016,0.71911919389316,0.9569759101349414,0.1975662493605259,0.0537590297805797,0.13899092236576047,0.12688404185938354,0.12726616959977244,0.16254051929465763,1.0,0.9110726421747772,0.44666666666666666,0.70158550396376,0.7420557429433694,0.9141153822269142,0.8446574570059205
4,0.1987734256522996,0.2064289781332016,0.254108121722004,0.7463423897698909,0.9562029670275497,0.19805711711186813,0.0420551155146489,0.12666009908597586,0.16546717107001194,0.131419725751065,0.1588946564929083,1.0,0.9152564020690976,0.4329896907216495,0.6851211072664359,0.8367177786987153,0.9194231359312672,0.856128390853572
5,0.19123743643590382,0.2029250475525856,0.2614006960168145,0.7466580096721804,0.9601372066127284,0.2170793673239029,0.04942269799166972,0.1343553179207481,0.15973601011170518,0.13199738265751837,0.1770768894994287,1.0,0.9195222243978852,0.42857142857142855,0.7180241105557189,0.8058708414872798,0.9189454925336447,0.8542058780946865
6,0.18494981231008256,0.20410737903118134,0.24796094450621778,0.6765972540766549,0.9593145116364598,0.2162434118611903,0.03021937698156711,0.09756064707472306,0.13525267572528668,0.1247776656197172,0.1723583226445801,1.0,0.9172431797415481,0.32567049808429116,0.6085334576824435,0.7524608093328472,0.9171692307692307,0.8504343105320304
7,0.17938349622147423,0.19517372438907624,0.2561003801329986,0.7391495022417426,0.9596159282944905,0.20956679377806986,0.04169787956299123,0.13497752887173547,0.1592837378733607,0.11303202800866338,0.17452876454167907,1.0,0.9155299391610631,0.38083228247162676,0.7148771736130278,0.80531146260496,0.9047679593134138,0.8624472573839662
8,0.17318927626439504,0.20024055267572402,0.26607880314038407,0.7332438021319381,0.9605132656758291,0.23186447756041406,0.04282602761410449,0.12832485542353594,0.165669394036579,0.14534347912376042,0.18801012254846522,1.0,0.9240780911062907,0.37150127226463103,0.6987493202827624,0.8027237354085603,0.9235175818148577,0.8657080846446011
9,0.16838814681257522,0.19468218735456466,0.2689498724483102,0.7573554433271711,0.9591940213996563,0.21639528361285224,0.05786695714390134,0.14013598021879226,0.17557859242341664,0.1428500948486526,0.19062817749089989,1.0,0.9157612169244536,0.470404984423676,0.7024230873945004,0.8361928104575164,0.9226297235450553,0.8641462401329456
10,0.16310590553113394,0.2017444417476654,0.271504404345463,0.7681455235454123,0.9583160513008977,0.21170225366573647,0.060767906408507794,0.14438044074347048,0.19470673868670163,0.14709240276050695,0.18356503685241993,1.0,0.9112493651599797,0.46808510638297873,0.7032432432432433,0.8668112798264642,0.9263322884012539,0.8643948955265741
