epoch,train_loss,val_loss,mean_iou,iou_bg,iou_s_white,iou_d_white,iou_s_yellow,iou_d_yellow,iou_curb,iou_xwalk
1,0.26489311829294476,0.23165843019485474,0.2291950788244724,0.9547163579646496,0.1794823725420412,0.027102987347338302,0.11068721258014784,0.10539147050657065,0.09918899989614764,0.12779615093441168
2,0.22063056789125715,0.22340995039939882,0.2399573828682703,0.9617705373053043,0.1999952097219137,0.053557747186890485,0.12553716776874,0.10659340219442662,0.09282748685425563,0.1394201290463615
3,0.20746328400714056,0.20358501319885253,0.25613998224964446,0.9569837264014357,0.19374358251449764,0.05199646606720701,0.12942451629609167,0.17150665104793097,0.12005451098922594,0.1692704224311224
4,0.19841543237141201,0.20448865370750427,0.2511829090998581,0.9620303582186737,0.22414522122556846,0.055376272845755026,0.10820954373662467,0.11619615334586889,0.12393644201136605,0.1683863723151499
5,0.19067025364977974,0.20127262777090071,0.26018606055814253,0.9592658281219485,0.21145270767536434,0.059065615082798194,0.11719831444495857,0.16416550099404326,0.14066796972820253,0.16948648785968232
6,0.18440045378378458,0.20286007850170135,0.26586633831539747,0.9587267682925842,0.21461379786450133,0.06119893903718609,0.1283657030000127,0.17524076094522753,0.14231474576011333,0.18060365330815698
7,0.1783650885973658,0.19755040138959884,0.26564227780794986,0.9609496575898738,0.22037219388340956,0.04474034406546408,0.15050689798569425,0.16807545834186793,0.13734750193215425,0.17750389085718485
8,0.1730477306025369,0.19754639763832094,0.2660664237061269,0.9594296084004286,0.2207229313506828,0.05562346570804899,0.14005153758417524,0.16167260677481277,0.13993895817598903,0.18502585794875015
9,0.16704588636841092,0.19712589287757873,0.26958815565829747,0.9609149745987171,0.22496214166464734,0.05734907636811056,0.14038466593992888,0.1763026608297998,0.1403692764080742,0.18683429379880467
10,0.16215302799429213,0.1990697504401207,0.2721965562294421,0.9604965904438514,0.22679194855523738,0.043669689253652694,0.16512492206609342,0.18452181045683963,0.1423322871718913,0.18243864565852888
11,0.15639815553426742,0.20701180769205094,0.26594295656851535,0.9572126576370349,0.21072224603551826,0.04277348270740404,0.14912462047127012,0.16961827546261646,0.1457565107310626,0.18639290293470126
12,0.15142499578339713,0.20884964442253112,0.2754256035967047,0.9620374571937562,0.2341429657820868,0.038709735049852194,0.15940623320497863,0.1919117357409731,0.15374800452020554,0.18802309368508044
13,0.14695224345411573,0.20915481449365617,0.27424497176897256,0.9602269874204324,0.2320501762975162,0.052495290130449894,0.1555823750016941,0.1752234478497865,0.15702580241993858,0.18711072326299036
14,0.1422370504106794,0.21619438050985337,0.2789140773561405,0.9604659602041825,0.2287301424296233,0.05665225431705851,0.17013664916819038,0.19083337354652605,0.15506645806409514,0.1905137037633079
15,0.13843334621020725,0.22531456332206726,0.27825644589001775,0.9611208146761036,0.2354242996937743,0.050874826700183874,0.15488306133605192,0.1933717776381577,0.15906718167849476,0.19305315950735827
16,0.13457710953610283,0.2315681480526924,0.27972234865586415,0.9601397504562678,0.22633290609365114,0.05197744879466876,0.16445630343407222,0.20080990721332598,0.1582809349377569,0.19605918966130634
17,0.13147148667063033,0.24445435326099396,0.28316427486829837,0.9603970856218806,0.23570388964297068,0.0531347102457507,0.16757068026964922,0.20676748251148847,0.16534591202169452,0.19323016376465427
18,0.12821635612675122,0.24978984493017198,0.2846849597571574,0.9608598816927555,0.229594632274319,0.05713851267525734,0.17516077656570597,0.20880611620869519,0.163241532997033,0.19799326588633626
19,0.1257957167693547,0.25971762943267823,0.2850436963072542,0.9614522332970168,0.2379002227192988,0.05410283736692283,0.17207627714699697,0.2053268985505862,0.16577605293734574,0.19867135213261208
20,0.12350856981277465,0.2690699722409248,0.28569197158635173,0.960478582730402,0.2342969375909177,0.055612468275376,0.1743795866795364,0.21277130049986312,0.16578498744506068,0.19651993788330613
21,0.12180283435753414,0.28503928542137147,0.2890068177033617,0.9618955329697015,0.23971213716543147,0.057248840244497355,0.18597178968280212,0.21560490335718333,0.16656940210258717,0.19604511840132857
22,0.12045044810771942,0.28597980279922486,0.2898898916186572,0.961889112532026,0.23764390581912853,0.05638291688063106,0.18825074953500892,0.21792549832852307,0.1661019442583324,0.20103511397695004
23,0.11951629061188017,0.29381048020124434,0.29053357270705255,0.9616704213802514,0.23894850729197595,0.06013013620465441,0.1870137975107533,0.21718653280150535,0.16776295262612118,0.20102266113410633
24,0.11886245321972029,0.2961963980674744,0.290474662095496,0.9616332671851047,0.23824907174053384,0.06054749721814159,0.18678463240619858,0.21820089981956142,0.16747023242699688,0.20043703387193482
25,0.11855341265457017,0.2967593359827995,0.29058352034148305,0.9617790729214853,0.23842590151533874,0.06057787468591819,0.18653563230872633,0.21876832620730235,0.16780694790509135,0.20019088684651895
