epoch,train_loss,val_loss,mean_iou,weighted_f1,iou_bg,iou_s_white,iou_d_white,iou_s_yellow,iou_d_yellow,iou_curb,iou_xwalk,f1_bg,f1_s_white,f1_d_white,f1_s_yellow,f1_d_yellow,f1_curb,f1_xwalk
1,0.12071500572987966,0.3094713293194771,0.28906651388335053,0.8021189271925094,0.9609957938079587,0.23537499067097223,0.05133253488486799,0.18837039157716587,0.2219839399135796,0.16814013095565497,0.1972678153732542,1.0,0.9236734957668197,0.42696629213483145,0.787917737789203,0.8889877641824249,0.9316852577630389,0.8652974126433716
2,0.12013607148613249,0.3106665981650352,0.28975866277160106,0.8002124174857538,0.9617254221083528,0.23801716269709314,0.055449334385619505,0.18692191044190412,0.22206435396057742,0.16517431930602236,0.19895813650163816,1.0,0.9247993787212011,0.42742857142857144,0.7829652996845425,0.8881491344873502,0.9322003034901366,0.8650676671579793
3,0.11956121148041317,0.31321046015024184,0.2890052085288423,0.798336488065103,0.961691809753136,0.23786931327017466,0.05401024108034928,0.1816388111611857,0.22305144568726754,0.1676744248083666,0.19710041394141656,1.0,0.924176466766292,0.4306987399770905,0.7720288491690185,0.8928251121076233,0.9325272067714632,0.8644953759549658
4,0.11894261903081621,0.32343116677999495,0.29009489511075565,0.7996845516825895,0.9620820711059274,0.24200332549580983,0.05274895440242819,0.18969162484947327,0.2153231228751351,0.16822242786776648,0.20059273917874926,1.0,0.9263185276711973,0.42626728110599077,0.7863083813179782,0.8826643140714601,0.9339879978177851,0.8679601185664242
5,0.11835217721036502,0.3290091251015663,0.28953991469364215,0.7983271952612199,0.9620469331300628,0.24121530074061862,0.05609856397679431,0.18701187733888602,0.2161242511139244,0.16740464097128463,0.19687783558392433,1.0,0.9258511815637003,0.4323699421965318,0.7796610169491526,0.8842901646639965,0.933027079303675,0.8642370845014017
6,0.11772889231102807,0.3391616549491882,0.29170602676376284,0.8015812550280074,0.9624779996838061,0.2434517481369024,0.05476758443641444,0.19041225142300902,0.22227520271913123,0.16842893040775764,0.20012847053931876,1.0,0.9271930398377707,0.4398541919805589,0.7821623355790824,0.8881987577639752,0.932374448540521,0.8654389030783708
7,0.11725575066293989,0.3400267464756966,0.29226575424554807,0.8030233529181569,0.9620920902137539,0.24132083698503445,0.059486900511004276,0.1882987555003085,0.22211722272842652,0.17059023456808536,0.2019542392122232,1.0,0.9260345389377648,0.45,0.7825261158594492,0.8882418812989922,0.9330195510499638,0.8677349266702878
8,0.11667913938590459,0.33938291770219803,0.29127765561416014,0.8028079657320102,0.9615177249460456,0.23739654888785536,0.0574811947952907,0.1863543106744355,0.22267761508681017,0.17101274486268656,0.2025034500459971,1.0,0.9244035269709544,0.4441747572815534,0.781882428525538,0.8902737591809481,0.9326574945691528,0.8693877551020408
9,0.1161778904744557,0.34083841083049776,0.28942937704493577,0.8012812454236167,0.961388381390738,0.2352491725777752,0.05728833445416332,0.18533956137594712,0.21950141473986806,0.16849463765299408,0.19874413712306427,1.0,0.9240702479338843,0.45138055222088835,0.7804107424960506,0.8855875831485588,0.9329305135951662,0.8660293523629998
10,0.11559841249755451,0.3530280938386917,0.29149733690437996,0.8009012707690425,0.9615700645397788,0.24051453342252727,0.059042749035290325,0.18661506958000118,0.22102228201987592,0.17215627801641187,0.19956038171677434,1.0,0.9239979177511712,0.45323741007194246,0.7779187817258884,0.8865704772475028,0.9324665944384254,0.8654467168998924
11,0.11517066773176193,0.35540242040157316,0.2910391173531267,0.802328197405739,0.9620709010353578,0.24026364388407925,0.05810090917702101,0.18516317640705124,0.2237794080618611,0.16942777112704233,0.19846801177947415,1.0,0.9239766081871345,0.4576271186440678,0.7770012706480305,0.8902329749103942,0.9319908356445195,0.864952201427225
12,0.11470756550346102,0.36487639195919036,0.29256101208848895,0.8036522050189434,0.9619950326535424,0.24206448964463131,0.060642418158696254,0.1916415403943338,0.22093616351979603,0.17133883080564338,0.1993086094427795,1.0,0.9244322631166797,0.45121951219512196,0.786524133462909,0.8865200977126361,0.932289156626506,0.8646616541353384
13,0.11425221588781902,0.367547799050808,0.2913517111068732,0.8012648443737787,0.9622568706461819,0.24265529348904863,0.05624835900230228,0.18940064280941973,0.22173327422426592,0.16951330006090354,0.1976542375159905,1.0,0.924693291568781,0.43896713615023475,0.7843388960205392,0.8861716318363717,0.9326424870466321,0.8631691362968896
14,0.11387232276201248,0.36973471804857255,0.2912970722982971,0.8020899679843936,0.9619758158045802,0.24094847933616056,0.059232428543189344,0.18746793485664104,0.22199547329431082,0.16855267469391427,0.1989066995592834,1.0,0.9249135625285406,0.4469413233458177,0.7818355033343919,0.8884444444444445,0.9324560874026679,0.8625974724388277
15,0.11347296083995274,0.37142732917070387,0.2912115763445228,0.8021343080701874,0.9619812256075831,0.24144359267043275,0.05497266553407905,0.18779887023471664,0.22293283193214064,0.17003319351719112,0.19931865491551662,1.0,0.9250780437044746,0.4413472706155633,0.7842257133696697,0.8875502008032129,0.9328592092574735,0.8649959579628133
